"id","cdate","entnbpal","otskm2","otsnumbdx","plakm1","plakm2","voydtd","voyhrd","voyhrf","voypal","performance_camion","performance_chauffeur","taux_remplissage_pal","taux_remplissage_ton","mdate","km_tsp","voydtf","createdAt","updatedAt","affcode","artcode","otdcode","otscontainer","otsetat","ottmt","placha1i","plalib","plamoti","plargiarr","rgilibl","sitcode","sitsiretedi","tiecode","toucode","voycle","sitechauff","sitecamion","salmemoe","otsnum","platouordre","salmobilite","toutrafcode","chargement","otdhd","voymemo","camion_code","sal_id","states"
20633,NULL,20,"125",373154,"60","125",NULL,"16:00:00","23:59:00",14,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T004","1369","SFX0373154","I","0+0+0+0","13100","TRANSPORT AMBIANT","8226TU215","SZ","SIDI BOUZID","SFX","SFX","AZI",NULL,"8339586","SFX","SFX","AZIZA","SFX0226-004228","1","False",NULL,"QUAI-SFX",NULL,NULL,"8226TU215","7","done"
17716,NULL,20,"169",1807610,"60","169",NULL,"04:00:00","14:00:00",22,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AFI39","T004","1161","SAL1807610","E","0+0+0+0","13100","TRANSPORT AMBIANT","5400TU201","KS","KASSERINE","SFX","SFX","AZI",NULL,"8355546","SFX","SFX","AZIZA","SAL0326-000936","3","False",NULL,"QUAI-SAH",NULL,NULL,"5400TU201","7","done"
17715,NULL,20,"163",373841,"60","163",NULL,"04:00:00","14:00:00",22,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AFI39","T004","1210","SFX0373841","E","0+0+0+0","13100","TRANSPORT AMBIANT","5400TU201","KS","KASSERINE","SFX","SFX","AZI",NULL,"8355546","SFX","SFX","AZIZA","SFX0326-000723","2","False",NULL,"QUAI-SFX",NULL,NULL,"5400TU201","7","done"
17714,NULL,20,"183",1807629,"60","183",NULL,"04:00:00","14:00:00",22,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AFI39","T004","1210","SAL1807629","E","0+0+0+0","13100","TRANSPORT AMBIANT","5400TU201","KS","KASSERINE","SFX","SFX","AZI",NULL,"8355546","SFX","SFX","AZIZA","SAL0326-000955","4","False",NULL,"QUAI-SAH",NULL,NULL,"5400TU201","7","done"
8823,NULL,20,"182",373511,"60","182",NULL,"04:00:00","12:00:00",24,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T004","1173","SFX0373511","I","0+0+0+0","13100","TRANSPORT AMBIANT","8226TU215","KS","KASSERINE","SFX","SFX","AZI",NULL,"8349736","SFX","SFX","AZIZA","SFX0326-000430","1","False",NULL,"QUAI-SFX",NULL,NULL,"8226TU215","7","done"
8822,NULL,20,"251",2090617,"60","251",NULL,"04:00:00","12:00:00",24,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T017","1173","BAR2090617","I","0+0+0+0","13100","TRANSPORT SPOT","8226TU215","KS","KASSERINE","SFX","SFX","AZI",NULL,"8349736","SFX","SFX","AZIZA","BAR0226-019444","3","False",NULL,"QUAI-BHF",NULL,NULL,"8226TU215","7","done"
8821,NULL,20,"251",2087946,"60","251",NULL,"04:00:00","12:00:00",24,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T017","1173","BAR2087946","I","0+0+0+0","13100","TRANSPORT SPOT","8226TU215","KS","KASSERINE","SFX","SFX","AZI",NULL,"8349736","SFX","SFX","AZIZA","BAR0226-018058","4","False",NULL,"QUAI-BHF",NULL,NULL,"8226TU215","7","done"
17634,NULL,20,"150",373838,"60","150",NULL,"04:00:00","14:00:00",22,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AFI39","T004","1161","SFX0373838","E","0+0+0+0","13100","TRANSPORT AMBIANT","5400TU201","KS","KASSERINE","SFX","SFX","AZI",NULL,"8355546","SFX","SFX","AZIZA","SFX0326-000720","1","False",NULL,"QUAI-SFX",NULL,NULL,"5400TU201","7","done"
1879,NULL,10,"394",2088032,"60","269",NULL,"18:45:00","23:59:00",6,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,NULL,"1267","BAR2088032","I","0+0+0+0","101386",NULL,"5014TU203","SZ","SIDI BOUZID","SFX","SFX","AZI",NULL,"8357152","SFX","SFX","AZIZA","BAR0226-018144","3","False",NULL,"QUAI-BHF",NULL,NULL,"5014TU203","9","done"
1942,NULL,10,"394",2087579,"60","269",NULL,"18:45:00","23:59:00",6,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,NULL,"1267","BAR2087579","I","0+0+0+0","101386",NULL,"5014TU203","SZ","SIDI BOUZID","SFX","SFX","AZI",NULL,"8357152","SFX","SFX","AZIZA","BAR0226-017691","2","False",NULL,"QUAI-BHF",NULL,NULL,"5014TU203","9","done"
3162,NULL,16,"394",2088236,"60","269",NULL,"15:00:00","23:59:00",15,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,NULL,"1511","BAR2088236","I","0+0+0+0","101386",NULL,"1773TU188","SZ","SIDI BOUZID","SFX","SFX","AZI",NULL,"8353743","SFX","SFX","AZIZA","BAR0226-018348","4","False",NULL,"QUAI-BHF",NULL,NULL,"1773TU188","9","done"
3149,NULL,16,"125",373651,"60","125",NULL,"15:00:00","23:59:00",15,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T004","1511","SFX0373651","I","0+0+0+0","101386","TRANSPORT AMBIANT","1773TU188","SZ","SIDI BOUZID","SFX","SFX","AZI",NULL,"8353743","SFX","SFX","AZIZA","SFX0326-000582","1","False",NULL,"QUAI-SFX",NULL,NULL,"1773TU188","9","done"
1435,NULL,10,"269",2092150,"60","269",NULL,"18:45:00","23:59:00",6,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,NULL,"1346","BAR2092150","I","0+0+0+0","101386",NULL,"5014TU203","SZ","SIDI BOUZID","SFX","SFX","AZI",NULL,"8357152","SFX","SFX","AZIZA","BAR0326-000543","10","False",NULL,"QUAI-BHF",NULL,NULL,"5014TU203","9","done"
2903,NULL,16,"394",2090894,"60","269",NULL,"15:00:00","23:59:00",15,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,NULL,"1511","BAR2090894","I","0+0+0+0","101386",NULL,"1773TU188","SZ","SIDI BOUZID","SFX","SFX","AZI",NULL,"8353743","SFX","SFX","AZIZA","BAR0226-019721","3","False",NULL,"QUAI-BHF",NULL,NULL,"1773TU188","9","done"
7890,NULL,8,"26",574287,"0","26",NULL,"05:30:00","08:00:00",8,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T004","1457","TUN0574287","I","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","TU","TUNIS","TUN","TUN","AZI",NULL,"8354657","TUN","TUN",NULL,"TUN0226-004906","2","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
25317,NULL,8,"109",575164,"180","109",NULL,"09:30:00","15:00:00",14,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AF081","T004","1402","TUN0575164","E","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","BJ","BEJA","TUN","TUN","AZI",NULL,"8362903","TUN","TUN",NULL,"TUN0326-000858","3","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
25318,NULL,8,"109",NULL,"0","109",NULL,"09:30:00","15:00:00",14,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AF081","T004","1070","TUN0574516R1","E","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","BJ","BEJA","TUN","TUN","AZI",NULL,"8362903","TUN","TUN",NULL,"TUN0326-000654","1","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
25319,NULL,8,"109",575158,"0","109",NULL,"09:30:00","15:00:00",14,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AF081","T004","1070","TUN0575158","E","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","BJ","BEJA","TUN","TUN","AZI",NULL,"8362903","TUN","TUN",NULL,"TUN0326-000852","2","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
2099,NULL,8,"8",575069,"0","8",NULL,"11:15:00","12:30:00",6,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T004","1065","TUN0575069","I","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","BA","BEN AROUS","TUN","TUN","AZI",NULL,"8356704","TUN","TUN",NULL,"TUN0326-000728","1","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
6283,NULL,8,"29",573596,"0","29",NULL,"15:00:00","18:00:00",9,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AF081","T004","1489","TUN0573596","E","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","AN","ARIANA","TUN","TUN","AZI",NULL,"8329004","TUN","TUN",NULL,"TUN0226-004367","2","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
6284,NULL,8,"29",573896,"0","29",NULL,"15:00:00","18:00:00",9,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AF081","T004","1489","TUN0573896","E","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","AN","ARIANA","TUN","TUN","AZI",NULL,"8329004","TUN","TUN",NULL,"TUN0226-004606","1","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
6287,NULL,8,"29",573266,"0","29",NULL,"12:00:00","15:00:00",23,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AF081","T004","1401","TUN0573266","E","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","AN","ARIANA","TUN","TUN","AZI",NULL,"8329001","TUN","TUN",NULL,"TUN0226-003988","3","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
6288,NULL,8,"29",573576,"0","29",NULL,"12:00:00","15:00:00",23,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AF081","T004","1401","TUN0573576","E","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","AN","ARIANA","TUN","TUN","AZI",NULL,"8329001","TUN","TUN",NULL,"TUN0226-004347","2","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
6289,NULL,8,"29",573921,"0","29",NULL,"12:00:00","15:00:00",23,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AF081","T004","1401","TUN0573921","E","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","AN","ARIANA","TUN","TUN","AZI",NULL,"8329001","TUN","TUN",NULL,"TUN0226-004631","1","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
6296,NULL,8,"79",574385,"0","79",NULL,"11:40:00","16:30:00",9,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AF081","T004","1218","TUN0574385","E","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","BZ","BIZERTE","TUN","TUN","AZI",NULL,"8346874","TUN","TUN",NULL,"TUN0226-005044","2","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
6297,NULL,8,"79",574434,"0","79",NULL,"11:40:00","16:30:00",9,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AF081","T004","1218","TUN0574434","E","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","BZ","BIZERTE","TUN","TUN","AZI",NULL,"8346874","TUN","TUN",NULL,"TUN0326-000114","1","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
21202,NULL,8,"30",574833,"0","30",NULL,"09:00:00","11:00:00",6,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T004","1158","TUN0574833","I","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","MB","MANNOUBA","TUN","TUN","AZI",NULL,"8356044","TUN","TUN",NULL,"TUN0326-000634","1","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
21201,NULL,8,"30",574648,"0","30",NULL,"09:00:00","11:00:00",6,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T004","1158","TUN0574648","I","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","MB","MANNOUBA","TUN","TUN","AZI",NULL,"8356044","TUN","TUN",NULL,"TUN0326-000376","2","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
11626,NULL,8,"49",573912,"180","49",NULL,"05:30:00","09:00:00",11,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T004","1236","TUN0573912","I","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","MB","MANNOUBA","TUN","TUN","AZI",NULL,"8327176","TUN","TUN",NULL,"TUN0226-004622","3","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
11625,NULL,8,"49",573530,"180","49",NULL,"05:30:00","09:00:00",11,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T004","1236","TUN0573530","I","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","MB","MANNOUBA","TUN","TUN","AZI",NULL,"8327176","TUN","TUN",NULL,"TUN0226-004301","4","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
11624,NULL,8,"49",573906,"0","49",NULL,"05:30:00","09:00:00",11,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T004","1133","TUN0573906","I","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","MB","MANNOUBA","TUN","TUN","AZI",NULL,"8327176","TUN","TUN",NULL,"TUN0226-004616","1","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
11623,NULL,8,"49",573494,"0","49",NULL,"05:30:00","09:00:00",11,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T004","1133","TUN0573494","I","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","MB","MANNOUBA","TUN","TUN","AZI",NULL,"8327176","TUN","TUN",NULL,"TUN0226-004265","2","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
7017,NULL,8,"44",NULL,"0","44",NULL,"05:30:00","08:30:00",7,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T004","1122","TUN0573423R1","I","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","AN","ARIANA","TUN","TUN","AZI",NULL,"8329848","TUN","TUN",NULL,"TUN0226-004454","2","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
17780,NULL,8,"49",2102081,"0","49",NULL,"11:00:00","13:00:00",9,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T004","1338","BKS2102081","I","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","MB","MANNOUBA","TUN","BKS","AZI",NULL,"8359010","TUN","TUN",NULL,"BKS0326-001438","4","False",NULL,"QUAI-BKS",NULL,NULL,"RS189327","11","done"
18068,NULL,8,"49",2103849,"0","49",NULL,"11:00:00","13:00:00",9,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T004","1338","BKS2103849","I","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","MB","MANNOUBA","TUN","BKS","AZI",NULL,"8359010","TUN","TUN",NULL,"BKS0326-002947","3","False",NULL,"QUAI-BKS",NULL,NULL,"RS189327","11","done"
20548,NULL,8,"36",575046,"0","36",NULL,"05:30:00","08:30:00",12,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T004","1040","TUN0575046","I","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","AN","ARIANA","TUN","TUN","AZI",NULL,"8357180","TUN","TUN",NULL,"TUN0326-000705","1","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
7016,NULL,8,"44",573980,"0","44",NULL,"05:30:00","08:30:00",7,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T004","1122","TUN0573980","I","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","AN","ARIANA","TUN","TUN","AZI",NULL,"8329848","TUN","TUN",NULL,"TUN0226-004724","1","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
3278,NULL,8,"49",574559,"0","49",NULL,"10:00:00","12:30:00",8,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AF081","T004","1338","TUN0574559","E","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","MB","MANNOUBA","TUN","TUN","AZI",NULL,"8352347","TUN","TUN",NULL,"TUN0326-000287","1","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
3279,NULL,8,"49",574703,"0","49",NULL,"10:00:00","12:30:00",8,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AF081","T004","1338","TUN0574703","E","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","MB","MANNOUBA","TUN","TUN","AZI",NULL,"8352347","TUN","TUN",NULL,"TUN0326-000431","2","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
21387,NULL,8,"49",574662,"0","49",NULL,"05:30:00","08:20:00",11,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T004","1197","TUN0574662","I","0+0+0+0","TRP071","TRANSPORT AMBIANT","RS189327","MB","MANNOUBA","TUN","TUN","AZI",NULL,"8348579","TUN","TUN",NULL,"TUN0326-000390","1","False",NULL,"QUAI-MHA",NULL,NULL,"RS189327","11","done"
