"id","camion","marque","site","type","affectation","capacite","utile","created_at","updated_at"
"63","6071TU197","Scania","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"64","7065TU154","DAF","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"65","2599TU208","Volvo","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"66","4833TU222","MAN","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"67","9914TU215","Scania","SFAX","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"68","5197TU137","DAF","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"69","636TU198","Volvo","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"70","3414TU174","MAN","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"71","4568TU169","Scania","SFAX","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"72","7024TU189","DAF","BAR","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"73","4601TU169","Volvo","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"74","2766TU229","MAN","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"75","2713TU210","Scania","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"76","6032TU258","DAF","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"77","1773TU188","Volvo","SFAX","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"78","1158TU195","MAN","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"79","5404TU201","Scania","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"80","3278TU198","DAF","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"82","2155TU174","MAN","BAR","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"83","9277TU230","Scania","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"84","1059TU189","DAF","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"85","1181TU202","Volvo","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"86","2774TU229","MAN","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"87","1777TU188","Scania","SFAX","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"88","760TU222","DAF","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"89","4924TU199","Volvo","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"90","5691TU185","MAN","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"91","4579TU169","Scania","SFAX","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"92","1080TU211","DAF","BAR","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"93","2619TU188","Volvo","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"94","538TU189","MAN","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"95","9610TU204","Scania","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"96","900TU184","DAF","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"97","1651TU212","Volvo","SFAX","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"98","2150TU174","MAN","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"99","9858TU243","Scania","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"100","6306TU197","DAF","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"101","4153TU122","Volvo","SFAX","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"102","6049TU258","MAN","BAR","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"103","2712TU210","Scania","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"104","596TU240","DAF","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"105","5084TU198","Volvo","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"106","7034TU189","MAN","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"107","523TU186","Scania","SFAX","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"108","7580TU181","DAF","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"109","9288TU232","Volvo","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"110","2918TU178","MAN","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"111","9280TU199","Scania","SFAX","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"112","8572TU232","DAF","BAR","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"113","758TU222","Volvo","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"114","6154TU201","MAN","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"115","6476TU223","Scania","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"116","1104TU195","DAF","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"117","CHFR_PARC","Mixed Fleet","BAR","Mixed","Parc Centralisé","Varies","Varies","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"118","4956TU204","Volvo","SFAX","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"119","2169TU181","MAN","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"120","2418TU216","Scania","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"121","8697TU203","DAF","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"122","2058TU229","Volvo","SFAX","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"123","1185TU202","MAN","BAR","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"124","7901TU191","Scania","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"125","9319TU202","DAF","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"126","4792TU230","Volvo","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"127","1652TU212","MAN","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"128","4932TU199","Scania","SFAX","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"129","9318TU181","DAF","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"130","6529TU223","Volvo","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"131","6820TU174","MAN","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"132","9594TU202","Scania","SFAX","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"133","7220TU189","DAF","BAR","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"134","8567TU204","Volvo","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"135","2070TU214","MAN","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"136","4994TU211","Scania","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"137","159TU215","DAF","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"138","283TU181","Volvo","SFAX","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"139","539TU189","MAN","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"140","7243TU194","Scania","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"141","2921TU178","DAF","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"142","8564TU232","Volvo","SFAX","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"143","2695TU198","MAN","BAR","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"144","4963TU204","Scania","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"145","6673TU193","DAF","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"146","2063TU203","Volvo","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"147","9277TU215","MAN","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"148","3827TU166","Scania","SFAX","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"149","8614TU188","DAF","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"150","8317TU215","Volvo","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"151","2471TU192","MAN","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"152","5402TU201","Scania","SFAX","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"153","2484TU192","DAF","BAR","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"154","4597TU169","Volvo","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"155","901TU184","MAN","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"156","3143TU151","Scania","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"157","860TU201","DAF","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"158","8176TU236","Volvo","SFAX","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"159","1996TU181","MAN","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"160","2820TU173","Scania","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"161","8335TU215","DAF","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"162","7819TU222","Volvo","SFAX","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"163","601TU240","MAN","BAR","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"164","6064TU197","Scania","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"165","967TU216","DAF","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"166","6351TU137","Volvo","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"167","5400TU201","MAN","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"168","9300TU199","Scania","SFAX","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"169","279TU181","DAF","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"170","8046TU209","Volvo","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"171","6688TU223","MAN","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"172","9916TU215","Scania","SFAX","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"173","958TU177","DAF","BAR","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"174","8585TU202","Volvo","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"175","6302TU185","MAN","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"176","2773TU229","Scania","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"177","293TU244","DAF","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"178","5086TU198","Volvo","SFAX","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"179","2582TU180","MAN","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"180","6990TU151","Scania","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"181","9661TU177","DAF","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"182","2770TU229","Volvo","SFAX","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"183","8315TU215","MAN","BAR","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"184","4899TU217","Scania","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"185","2290TU250","DAF","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"186","7558TU198","Volvo","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"187","6942TU217","MAN","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"188","8363TU215","Scania","SFAX","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"189","1098TU165","DAF","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"190","321TU169","Volvo","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"191","2380TU203","MAN","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"192","3852TU248","Scania","SFAX","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"193","3071TU181","DAF","BAR","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"194","2222TU173","Volvo","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
